Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-05-13,57324.03,57436.98,57165.66,57246.74,50213947
2015-05-14,57229.22,57231.71,56833.23,56845.83,43764396
2015-05-15,56928.82,57066.35,56842.55,56901.42,36765644
2015-05-18,57088.52,57233.42,56906.68,57044.04,37017366
2015-05-19,57160.21,57244.95,56944.22,56968.61,38512497
2015-05-20,56925.08,56955.49,56550.25,56925.9,36588130
2015-05-21,56955.91,57001.44,56703.32,56990.6,30068887
2015-05-22,56973.03,56973.03,56638.8,56828.92,35733633
2015-05-25,56401.76,56493.72,55749.83,55957.5,28955409
2015-05-26,55875.53,56022.01,55553.99,55553.99,36892574
2015-05-27,55642.23,55862.06,55498.11,55862.06,45725746
2015-05-28,55896.87,55939.44,55556.13,55556.13,27267750
2015-05-29,55599.86,55851.68,55531.79,55531.79,61560525
2015-06-01,55599.98,55761.48,55463.22,55605.71,30417168
2015-06-02,55535.28,55551.74,55008.41,55045.4,34305360
2015-06-03,55128.96,55162.61,54707.67,54749.74,38937668
2015-06-05,54637.41,54644.08,54246.72,54278.69,30073543
2015-06-08,54301.82,54406.24,53953.21,53966.77,31432305
2015-06-09,53953.89,54237.83,53576.17,53576.17,44426596
2015-06-10,53628.08,54453.81,53617.7,54392.95,54281586
2015-06-11,54493.55,54565.77,54261.18,54357.69,31877983
2015-06-12,54369,54374.21,53945.35,53956.79,24749526
2015-06-15,53892.37,54191.73,53795.89,53977.29,20888133
2015-06-16,53947.95,53996.25,53741.2,53934.03,35422994
2015-06-17,54034.66,54160.75,53115.11,53203.7,37941414
2015-06-18,53205.71,53423.03,52869.33,53408.53,37070376
2015-06-19,53565.18,53641.53,53039.35,53039.35,53923937
2015-06-22,53380.27,54121.68,53380.27,54104.26,22591147
2015-06-23,54305.16,54329.49,54017.19,54017.19,25676482
2015-06-24,54114.21,54209.48,53863.85,54114.37,34966351
2015-06-25,54045.06,54449.16,54013.66,54141.2,40094251
2015-06-26,54072.42,54119.54,53808.87,53836.45,32798337
2015-06-29,51892.58,53093.04,51817.29,52905.49,35875742
2015-06-30,52741.47,53433.58,52737.61,53328.98,42374350
2015-07-01,53330.19,53671.33,52993.39,52993.41,31012358
2015-07-02,53049.95,53267.21,52908.03,53074.71,35544804
2015-07-03,53123.56,53175.8,52543.58,52764.91,20527980
2015-07-06,52121.44,52705.47,52121.44,52590.36,26822943
2015-07-07,52762.12,52860.95,51586.16,51586.16,39358360
2015-07-08,51504.17,51739.73,51243.99,51370.03,46768344
2015-07-09,51459.34,51658.71,51240.77,51658.71,31072533
2015-07-10,51899.91,52682.08,51899.91,52588.42,34442771
2015-07-13,52912.01,52978.62,52639.48,52773.18,34838014
2015-07-14,52802.76,52834.02,52480.21,52700.22,32308625
2015-07-15,52709.8,52782.43,52442.43,52764.78,28709311
2015-07-16,53000.14,53588.24,52946.51,53588.24,42546750
2015-07-17,53649.54,53687.9,53320.14,53428.96,28104331
2015-07-20,53389.56,53498.84,52744.66,52753.8,29871766
2015-07-21,52915.42,53056.19,52520.84,52839.41,31757465
2015-07-22,52722.94,52736.29,51635.34,51698.05,40307259
2015-07-23,51622.04,51986.22,51438.32,51986.22,35531926
2015-07-24,51909.83,52125.02,51753.07,51860.33,41997313
2015-07-27,51899.07,51899.07,51287.52,51738.86,43227095
2015-07-28,51856.62,52132.64,51828.26,51906.91,49759106
2015-07-29,52136.54,52732.92,51943.42,52288.1,52911787
2015-07-30,52495.82,52595.36,51850.93,52011.81,33726044
