,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
0,2000-01-03,9.4173,9.4876,9.1131,9.145,922623
1,2000-01-04,9.0755,9.0755,8.6306,8.7326,1257043
2,2000-01-05,8.4965,8.7,8.4965,8.599,949871
3,2000-01-06,8.5617,8.974,8.4965,8.9041,1026541
4,2000-01-07,9.0755,9.761000000000001,9.0755,9.557,2468280
5,2000-01-10,9.626,10.173,9.626,9.798,3024839
6,2000-01-11,9.696,9.761000000000001,9.3852,9.4876,1666031
7,2000-01-12,9.525,9.59,9.4549,9.557,965886
8,2000-01-13,9.9,10.789000000000001,9.9,10.445,3971780
9,2000-01-14,10.414000000000001,10.719000000000001,10.414000000000001,10.515,5259179
10,2000-01-17,10.445,10.548,10.275,10.515,1656174
11,2000-01-18,10.344000000000001,10.548,9.968,10.242,2456739
12,2000-01-19,10.038,10.102,9.867,10.038,1233000
13,2000-01-20,10.102,10.585,10.003,10.378,2788868
14,2000-01-21,10.275,10.585,10.275,10.585,1527078
15,2000-01-24,10.548,10.548,10.173,10.275,1246168
16,2000-01-25,10.003,10.038,9.728,10.003,1417146
17,2000-01-26,10.141,10.378,10.141,10.242,1094564
18,2000-01-27,10.173,10.344000000000001,10.141,10.344000000000001,532795
19,2000-01-28,10.209,10.344000000000001,10.003,10.173,1161798
20,2000-01-31,10.038,10.038,9.9,10.003,628682
21,2000-02-01,10.102,10.378,9.968,10.141,1349031
22,2000-02-02,10.102,10.173,9.968,10.141,941061
23,2000-02-03,10.141,10.619000000000002,10.141,10.378,1168716
24,2000-02-04,10.445,10.585,10.07,10.344000000000001,2008742
25,2000-02-07,10.275,10.275,10.038,10.173,938914
26,2000-02-08,10.209,10.344000000000001,10.102,10.344000000000001,676157
27,2000-02-09,10.378,10.825999999999999,10.102,10.275,1823564
28,2000-02-10,10.038,10.242,10.038,10.242,1450776
29,2000-02-11,10.275,10.275,10.102,10.173,1150226
30,2000-02-14,10.102,10.102,9.933,10.07,985943
31,2000-02-15,10.209,10.209,10.07,10.209,543979
32,2000-02-16,10.275,10.275,10.07,10.209,889321
33,2000-02-17,10.344000000000001,10.654000000000002,10.209,10.275,1469752
34,2000-02-18,10.311,10.619000000000002,10.311,10.482999999999999,2093500
35,2000-02-21,9.933,10.102,9.933,10.003,850578
36,2000-02-22,10.209,10.209,9.968,10.07,704575
37,2000-02-23,10.275,11.302,10.275,10.757,3785085
38,2000-02-24,10.96,11.817,10.857999999999999,11.34,4959603
39,2000-02-25,12.058,12.058,11.372,11.440999999999999,4325513
40,2000-02-28,11.270999999999999,11.511,10.89,11.372,2261127
41,2000-02-29,11.475,11.475,11.132,11.234000000000002,1845516
42,2000-03-01,11.234000000000002,11.372,11.097999999999999,11.34,2493524
43,2000-03-02,11.169,11.302,11.03,11.132,1198962
44,2000-03-03,11.169,11.302,11.169,11.270999999999999,1085953
45,2000-03-06,11.34,11.34,10.997,11.03,911062
46,2000-03-07,10.89,10.89,10.619000000000002,10.686,596620
47,2000-03-08,10.445,10.686,10.445,10.548,1573692
48,2000-03-09,10.619000000000002,10.619000000000002,10.102,10.102,934108
49,2000-03-10,10.209,10.378,10.102,10.209,1624711
50,2000-03-13,9.761000000000001,9.867,9.1131,9.3172,932521
51,2000-03-14,9.557,11.200999999999999,9.4549,10.927999999999999,3893580
52,2000-03-15,10.482999999999999,11.234000000000002,10.482999999999999,10.757,3083567
53,2000-03-16,11.302,11.302,10.789000000000001,10.927999999999999,1895329
54,2000-03-17,11.234000000000002,11.234000000000002,10.686,10.686,1120248
55,2000-03-20,10.654000000000002,10.857999999999999,10.654000000000002,10.757,1055955
56,2000-03-21,10.686,10.686,10.414000000000001,10.445,372922
57,2000-03-22,10.89,10.89,10.445,10.619000000000002,557132
58,2000-03-23,10.619000000000002,10.789000000000001,10.548,10.619000000000002,687626
59,2000-03-24,10.789000000000001,10.89,10.515,10.857999999999999,793557
60,2000-03-27,11.132,11.132,11.03,11.062999999999999,1173847
61,2000-03-28,11.062999999999999,11.200999999999999,11.062999999999999,11.132,891700
62,2000-03-29,11.132,11.34,11.097999999999999,11.200999999999999,1063774
63,2000-03-30,11.03,11.03,10.414000000000001,10.445,735865
64,2000-03-31,10.311,10.719000000000001,10.311,10.719000000000001,1067027
65,2000-04-03,10.789000000000001,10.789000000000001,10.344000000000001,10.414000000000001,454317
66,2000-04-04,10.275,10.482999999999999,10.038,10.344000000000001,490196
67,2000-04-05,10.344000000000001,10.344000000000001,9.933,10.038,517189
68,2000-04-06,10.275,10.482999999999999,10.275,10.445,248617
69,2000-04-07,10.445,10.445,10.209,10.311,634482
70,2000-04-10,10.275,10.275,10.07,10.102,494950
71,2000-04-11,9.933,9.933,9.696,9.761000000000001,392131
72,2000-04-12,10.038,10.173,10.003,10.038,606013
73,2000-04-13,9.761000000000001,9.83,9.696,9.83,569495
74,2000-04-14,9.9,9.968,9.658999999999999,9.728,764526
75,2000-04-17,8.9411,9.0436,8.4597,8.8716,1423750
76,2000-04-18,9.4173,9.4173,8.9041,9.1826,993719
77,2000-04-19,9.2842,9.2842,8.8716,8.9041,883969
78,2000-04-20,9.0107,9.1131,9.0107,9.0755,482235
79,2000-04-25,9.3541,9.4173,9.2474,9.3852,424355
80,2000-04-26,9.658999999999999,9.9,9.658999999999999,9.761000000000001,510307
81,2000-04-27,9.867,10.038,9.525,9.761000000000001,594251
82,2000-04-28,10.07,10.275,10.003,10.275,443332
83,2000-05-04,10.275,10.414000000000001,10.102,10.311,995764
84,2000-05-05,10.275,10.378,10.003,10.209,352385
85,2000-05-08,10.275,10.275,10.003,10.102,763287
86,2000-05-09,10.275,10.311,10.173,10.242,372864
87,2000-05-10,10.482999999999999,10.89,10.482999999999999,10.89,536392
88,2000-05-11,10.548,10.96,10.548,10.927999999999999,626272
89,2000-05-12,10.857999999999999,10.997,10.445,10.857999999999999,554593
90,2000-05-15,10.825999999999999,10.825999999999999,10.548,10.757,282221
91,2000-05-16,10.89,11.405,10.619000000000002,11.302,669022
92,2000-05-17,11.132,11.132,10.96,11.132,919087
93,2000-05-18,11.03,11.097999999999999,10.997,11.03,667077
94,2000-05-19,11.03,11.200999999999999,10.89,11.200999999999999,993558
95,2000-05-22,11.200999999999999,11.200999999999999,10.96,11.062999999999999,393209
96,2000-05-23,10.997,10.997,10.686,10.757,776707
97,2000-05-24,10.275,10.515,10.275,10.482999999999999,832756
98,2000-05-25,10.515,10.719000000000001,10.482999999999999,10.719000000000001,726918
99,2000-05-26,10.548,10.719000000000001,10.548,10.654000000000002,507333
100,2000-05-29,10.619000000000002,10.96,10.619000000000002,10.825999999999999,433178
101,2000-05-30,10.789000000000001,10.825999999999999,10.548,10.719000000000001,858705
102,2000-05-31,10.96,10.96,10.719000000000001,10.719000000000001,967161
103,2000-06-01,10.96,10.96,10.825999999999999,10.89,829564
104,2000-06-02,10.96,10.96,10.719000000000001,10.89,586404
105,2000-06-05,10.96,10.96,10.757,10.825999999999999,527365
106,2000-06-06,10.789000000000001,10.89,10.548,10.789000000000001,307486
107,2000-06-07,10.789000000000001,11.062999999999999,10.719000000000001,11.062999999999999,367431
108,2000-06-08,10.927999999999999,11.062999999999999,10.789000000000001,10.96,204557
109,2000-06-09,10.857999999999999,10.927999999999999,10.757,10.857999999999999,135105
110,2000-06-12,10.789000000000001,10.789000000000001,10.654000000000002,10.757,90286
111,2000-06-13,10.654000000000002,10.789000000000001,10.619000000000002,10.757,214369
112,2000-06-14,10.719000000000001,10.825999999999999,10.548,10.548,211856
113,2000-06-15,10.619000000000002,10.825999999999999,10.585,10.619000000000002,274755
114,2000-06-16,10.654000000000002,10.719000000000001,10.585,10.619000000000002,201402
115,2000-06-19,10.548,10.585,10.482999999999999,10.585,308462
116,2000-06-20,10.654000000000002,10.789000000000001,10.585,10.789000000000001,393083
117,2000-06-21,10.825999999999999,10.997,10.789000000000001,10.997,228218
118,2000-06-23,10.96,10.997,10.825999999999999,10.927999999999999,210008
119,2000-06-26,10.857999999999999,11.270999999999999,10.857999999999999,11.200999999999999,466214
120,2000-06-27,11.200999999999999,11.475,11.200999999999999,11.234000000000002,693981
121,2000-06-28,11.234000000000002,11.270999999999999,11.169,11.169,416892
122,2000-06-29,11.234000000000002,11.234000000000002,10.997,10.997,546986
123,2000-06-30,11.169,11.169,10.96,10.997,346274
124,2000-07-03,11.03,11.169,11.03,11.062999999999999,313227
125,2000-07-04,11.062999999999999,11.097999999999999,10.96,11.097999999999999,206274
126,2000-07-05,11.097999999999999,11.132,11.03,11.03,373173
127,2000-07-06,10.96,11.062999999999999,10.789000000000001,11.062999999999999,560446
128,2000-07-07,10.825999999999999,10.825999999999999,10.619000000000002,10.686,348189
129,2000-07-10,10.857999999999999,10.89,10.686,10.686,139733
130,2000-07-11,10.619000000000002,10.619000000000002,10.445,10.585,353966
131,2000-07-12,10.482999999999999,10.619000000000002,10.445,10.482999999999999,520286
132,2000-07-13,10.482999999999999,10.482999999999999,10.311,10.344000000000001,1310677
133,2000-07-14,10.482999999999999,10.482999999999999,10.311,10.414000000000001,1193276
134,2000-07-17,10.482999999999999,10.515,10.344000000000001,10.378,1046435
135,2000-07-18,10.482999999999999,10.719000000000001,10.482999999999999,10.515,2160609
136,2000-07-19,10.654000000000002,10.857999999999999,10.654000000000002,10.686,392239
137,2000-07-20,10.825999999999999,10.825999999999999,10.585,10.619000000000002,1088917
138,2000-07-21,10.96,10.96,10.857999999999999,10.927999999999999,1904045
139,2000-07-24,10.89,10.89,10.757,10.757,777289
140,2000-07-25,10.757,10.757,10.515,10.686,1000122
141,2000-07-26,10.757,10.757,10.515,10.548,622736
142,2000-07-27,10.548,10.654000000000002,10.242,10.344000000000001,541400
143,2000-07-28,10.344000000000001,10.344000000000001,9.933,10.141,868340
144,2000-07-31,10.102,10.102,9.867,9.867,594671
145,2000-08-01,9.933,9.933,9.658999999999999,9.761000000000001,699711
146,2000-08-02,9.867,10.07,9.867,10.003,696937
147,2000-08-03,10.003,10.003,9.867,9.933,318887
148,2000-08-04,9.968,10.141,9.968,10.07,304942
149,2000-08-07,10.102,10.102,9.968,10.07,209280
150,2000-08-08,10.102,10.242,10.102,10.242,538105
151,2000-08-09,10.378,10.585,10.378,10.445,159350
152,2000-08-10,10.445,10.482999999999999,10.378,10.378,409591
153,2000-08-11,10.378,10.378,10.209,10.209,157748
154,2000-08-14,10.209,10.311,10.102,10.275,78200
155,2000-08-16,10.344000000000001,10.515,10.173,10.445,192382
156,2000-08-17,10.311,10.311,10.102,10.173,287784
157,2000-08-18,10.242,10.242,9.933,10.209,343519
158,2000-08-21,10.003,10.173,10.003,10.141,305936
159,2000-08-22,10.102,10.311,9.968,10.275,652455
160,2000-08-23,10.515,10.686,10.378,10.515,1090931
161,2000-08-24,10.445,10.482999999999999,10.311,10.378,306124
162,2000-08-25,10.445,10.585,10.275,10.445,239063
163,2000-08-28,10.482999999999999,10.482999999999999,10.242,10.311,115479
164,2000-08-29,10.515,10.515,10.311,10.515,300276
